source_stage,source_dir,source_csv,method,certificate,pearson_mae_mean,pearson_mae_std,pearson_mae_min,pearson_mae_max,pearson_mae_count,spearman_mae_mean,spearman_mae_std,spearman_mae_min,spearman_mae_max,spearman_mae_count
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gls_map,condition_number,0.8129454389501223,0.0210014118362294,0.7784070498848749,0.8375275326419064,10,0.8547703646306711,0.0188902016000882,0.8110852384710179,0.8767091514108597,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gls_map,information_logdet,-0.7018838331800801,0.0348228669638103,-0.753766920674176,-0.6518998997884078,10,-0.762494479411498,0.0258713161522723,-0.800563280998434,-0.7099318543167357,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gls_map,posterior_trace,0.7930958430630001,0.0244769141851163,0.7549658699623214,0.8345103972898299,10,0.8067710764173743,0.0204808412911068,0.7727220306610223,0.8383368233367195,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gsp,condition_number,0.1501537430437123,0.1166054520109468,-0.0306508462190782,0.3076764399012813,10,0.1778736148644165,0.1490496185759587,-0.1070480791159579,0.3572528144631269,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gsp,information_logdet,-0.1769803645244592,0.1188050573015764,-0.3098015010739081,0.0175707974560618,10,-0.2035816233783188,0.1391437244140831,-0.3703636514419587,0.0521051458544979,10
stage12_baseline_portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,certificate_correlation_summary.csv,gsp,posterior_trace,0.1478134703346691,0.1168568398069531,-0.0308906160288476,0.3028929459025875,10,0.1606824507514503,0.1468244877237556,-0.0974216304190077,0.3205274397196939,10
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gls_map,condition_number,0.514727628444262,0.0424938998231964,0.484679903720218,0.544775353168306,2,0.2797753972697283,0.0689318139259262,0.2310332442032166,0.3285175503362401,2
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gls_map,information_logdet,0.0808509933596768,0.0632576699625414,0.0361210659671032,0.1255809207522504,2,-0.0087707603540188,0.0947494834232649,-0.0757687625965318,0.0582272418884942,2
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gls_map,posterior_trace,0.2197929643081801,0.0594227311798486,0.1777747481342839,0.2618111804820764,2,0.1541002707230424,0.0110786073329113,0.1462665123518378,0.161934029094247,2
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gsp,condition_number,0.0234953497898384,0.1089938669981158,-0.0535749526722739,0.1005656522519508,2,0.0627680544017851,0.0760684654054015,0.0089795266791714,0.1165565821243988,2
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gsp,information_logdet,-0.2883307744765282,0.0311280275787975,-0.3103416138624579,-0.2663199350905986,2,-0.2515783654876842,0.0780112245285638,-0.306740631360498,-0.1964160996148704,2
stage13_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage13_candidate_sensitivity,certificate_correlation_summary.csv,gsp,posterior_trace,0.1863108782935578,0.0266892496193842,0.1674387289029107,0.2051830276842049,2,0.2162588325616576,0.0367537738713911,0.190269989823,0.2422476753003152,2
