source_stage,source_dir,source_csv,claim_id,claim_lane,claim_status,allowed_wording,forbidden_wording,evidence_source,evidence_artifact,required_metric_basis,required_caveat_tag,phase_scope,notes
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-01,core_in_domain,transportation_science_ready,certificate-guided,,PeMS7_228 Stage12 baseline portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio/gls_map_layout_summary.csv,held_out_test_with_paired_comparisons,pems7_228_low_budget_multistart_not_dominant,phase7_core,transparent reconstruction-aware sparse sensor layout design with validation-swap-selected main method
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-02,tr_part_b_extension,requires_stronger_theory,posterior-certificate-aware,,Theory extension,.planning/REQUIREMENTS.md,theory_or_bound_required_before_elevation,,phase7_boundary,"formal certification, global optimality, and broad generality remain outside Transportation Science-ready claims"
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,EVID-01,core_in_domain,transportation_science_ready,improves in the tested setting,,PeMS7_228 Stage12 baseline portfolio,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio/gls_map_paired_delta_tests.csv,held_out_test_with_paired_comparisons,pems7_228_low_budget_multistart_not_dominant,phase7_core,main in-domain table is derived from committed Stage12 aggregate evidence only
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,EVID-EXT-PeMS7_1026,external_evidence,supporting_until_phase8,external evidence,generalizes across networks,PeMS7_1026,TRC-23-02333/trace_sl_results/pems7_1026_stage11_auto_weight,phase8_stage12_10_split_required_before_core_claim,,phase7_external_boundary,PeMS7_1026 cannot be core_in_domain or transportation_science_ready in Phase 7
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,EVID-EXT-Seattle,external_evidence,conditional_until_phase8,external evidence,generalizes across networks,Seattle,TRC-23-02333/trace_sl_results/seattle_stage11_auto_weight_light,phase8_stage12_10_split_required_before_core_claim,,phase7_external_boundary,Seattle cannot be core_in_domain or transportation_science_ready in Phase 7
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,HAND-01-STRESS,stress_test,bounded_stress_test_evidence,stress-tested,globally robust,Stage14 robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness/gls_map_layout_summary.csv,stress_test_only_unless_multi_seed_perturbation_evidence,,phase7_robustness_boundary,"single-stage robustness rows are routed as stress-test evidence, not global robustness"
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,HAND-01-APPENDIX,appendix,bounded_appendix_evidence,stress-tested,,Stage14 robustness,TRC-23-02333/trace_sl_results/pems7_228_stage14_robustness/SUMMARY.md,appendix_or_stress_test_only,,phase7_robustness_boundary,robustness details remain appendix/stress-test routed unless stronger perturbation evidence is added
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-03-01,wording_guardrail,forbidden,certificate-guided,optimal,Phase 7 wording policy,.planning/REQUIREMENTS.md,wording_policy,,phase7_wording_boundary,forbidden wording must fail closed before claim/table artifact generation
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-03-02,wording_guardrail,forbidden,posterior-certificate-aware,certified,Phase 7 wording policy,.planning/REQUIREMENTS.md,wording_policy,,phase7_wording_boundary,forbidden wording must fail closed before claim/table artifact generation
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-03-03,wording_guardrail,forbidden,stress-tested,globally robust,Phase 7 wording policy,.planning/REQUIREMENTS.md,wording_policy,,phase7_wording_boundary,forbidden wording must fail closed before claim/table artifact generation
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-03-04,wording_guardrail,forbidden,improves in the tested setting,guaranteed MAE improvement,Phase 7 wording policy,.planning/REQUIREMENTS.md,wording_policy,pems7_228_low_budget_multistart_not_dominant,phase7_wording_boundary,forbidden wording must fail closed before claim/table artifact generation
phase7_claim_contract,TRC-23-02333/trace_sl_results/pems7_228_stage12_baseline_portfolio,gls_map_layout_summary.csv,CLAIM-03-05,wording_guardrail,forbidden,external evidence,generalizes across networks,Phase 7 wording policy,.planning/REQUIREMENTS.md,wording_policy,,phase7_wording_boundary,forbidden wording must fail closed before claim/table artifact generation
