method,certificate,pearson_mae,spearman_mae,n,candidate_count,split_seed
gsp,posterior_trace,0.2051830276842049,0.2422476753003152,67,100,25
gsp,condition_number,-0.0535749526722739,0.0089795266791714,67,100,25
gsp,information_logdet,-0.3103416138624579,-0.306740631360498,67,100,25
gls_map,posterior_trace,0.1777747481342839,0.1462665123518378,67,100,25
gls_map,condition_number,0.484679903720218,0.2310332442032166,67,100,25
gls_map,information_logdet,0.1255809207522504,0.0582272418884942,67,100,25
gsp,posterior_trace,0.1674387289029107,0.190269989823,67,50,25
gsp,condition_number,0.1005656522519508,0.1165565821243988,67,50,25
gsp,information_logdet,-0.2663199350905986,-0.1964160996148704,67,50,25
gls_map,posterior_trace,0.2618111804820764,0.161934029094247,67,50,25
gls_map,condition_number,0.544775353168306,0.3285175503362401,67,50,25
gls_map,information_logdet,0.0361210659671032,-0.0757687625965318,67,50,25
