method,certificate,pearson_mae,spearman_mae,n,split_seed
gsp,posterior_trace,0.2723711470232719,0.293636279922924,648,25
gsp,condition_number,0.2736706009740907,0.2672558857965219,648,25
gsp,information_logdet,-0.2874194982060969,-0.3039836018522096,648,25
gls_map,posterior_trace,0.8451916892927109,0.845713665011434,648,25
gls_map,condition_number,0.8107688513879489,0.8446753737945405,648,25
gls_map,information_logdet,-0.8132991668085848,-0.8095655362289235,648,25
gsp,posterior_trace,-0.0845476784164747,-0.0799552321562865,648,26
gsp,condition_number,-0.0825779281306573,-0.0997319816981504,648,26
gsp,information_logdet,0.0633992809893435,0.0407157386357935,648,26
gls_map,posterior_trace,0.8455579340430225,0.856707971408294,648,26
gls_map,condition_number,0.8360495849214965,0.8611343032003759,648,26
gls_map,information_logdet,-0.7944680310795857,-0.808307012765186,648,26
gsp,posterior_trace,0.1239142991489403,0.1721862409456578,648,27
gsp,condition_number,0.1249567176165521,0.1354415897573495,648,27
gsp,information_logdet,-0.1535109638022505,-0.1920399496250368,648,27
gls_map,posterior_trace,0.8592848930939726,0.8628725266106501,648,27
gls_map,condition_number,0.8277454076593357,0.858768711777979,648,27
gls_map,information_logdet,-0.816467214188919,-0.8095368699888104,648,27
gsp,posterior_trace,0.2256999630550352,0.2354049859545343,648,28
gsp,condition_number,0.2278241270303658,0.2214081426368632,648,28
gsp,information_logdet,-0.2395286312271242,-0.2498371592143518,648,28
gls_map,posterior_trace,0.8701872379612823,0.8664608312976074,648,28
gls_map,condition_number,0.8362503565901842,0.8671822944242992,648,28
gls_map,information_logdet,-0.8370658712394828,-0.8241350827355117,648,28
gsp,posterior_trace,0.2114197769339456,0.2089876420726361,648,29
gsp,condition_number,0.2145044983700247,0.2194056147988708,648,29
gsp,information_logdet,-0.2286308109830295,-0.245914256104266,648,29
gls_map,posterior_trace,0.882684794067657,0.8752056747510017,648,29
gls_map,condition_number,0.8398504032719396,0.8770123975308752,648,29
gls_map,information_logdet,-0.8490515457379806,-0.8379000930417909,648,29
