budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,layout_type,mean,std,count
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,3.1008701462377117,0.15406937822648417,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,3.101175075160908,0.15949950088384135,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,3.1031253011696407,0.16793370275605868,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,3.12305523604406,0.16691729785934972,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,best_random_by_validation,3.2181693137268965,0.16812605812483147,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,3.300284449397432,0.17903841731015602,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,3.4650978009989544,0.24677547833905622,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,3.550760230941222,0.18896103258474123,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,3.572798423007992,0.18857398868197406,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.866041083030016,0.29090181379422536,10
0.1,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,3.938531183788489,0.2862549554892189,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.828113951373875,0.1501083075648175,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,2.8491654752983204,0.1514328716141221,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,2.9026390649896676,0.1597086173162286,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,2.9040123478939406,0.1655428649628239,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,best_random_by_validation,2.9440109375561443,0.13151395454509757,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,3.066394755395312,0.19594466416753847,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,3.1013639504697763,0.19094168815508628,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,3.10376834684918,0.17105911197650253,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,3.427158625252047,0.20239765053281786,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.5142747819263698,0.27137038296396343,10
0.2,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,3.7602957423327665,0.24589787475790686,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap_selected,2.624137704524024,0.12379140438896631,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,rcss_selected,2.66597671394545,0.15109223623004542,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,2.717946321646433,0.12905357724891178,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,best_random_by_validation,2.7387823231755717,0.13542237960115325,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,2.7754241660479595,0.16091860896304014,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,2.8066748003447044,0.163909823099795,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,2.833958303569456,0.14425852042728862,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,2.9520638012930838,0.1667640259534313,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,3.2046778683191093,0.23755709785372903,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,3.4103239637391654,0.20975769533789185,10
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,3.57114219811307,0.2131702269464768,10
